Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MLSS,Milestone Scientific Inc. Common Stock,$0.76,0.0303,4.152%,54237901.00,United States,2015,56323,Health Care,Industrial Specialties
MPTI,M-tron Industries Inc. Common Stock,$32.40,3.60,12.50%,88358850.00,,2022,82147,,
MPU,Mega Matrix Corp. Common Stock,$0.67,0.001,0.149%,21255503.00,United States,1998,2511,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$0.485,-0.026,-5.088%,8714844.00,,2021,83041,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.5501,0.0001,0.018%,11575563.00,United States,1994,7754,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$2.70,-0.12,-4.255%,142666723.00,,,357905,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.2132,-0.0291,-12.01%,46320797.00,United States,2017,1808499,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.2123,0.0133,6.683%,5265040.00,,2023,165900,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$11.73,-0.13,-1.096%,24685785.00,United States,2003,1329,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$2.13,0.23,12.105%,56479512.00,United States,2017,375291,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.3302,-0.002,-0.602%,174933154.00,Canada,,662046,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$9.44,0.00,0.00%,0.00,United States,2002,115889,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.3202,-0.0287,-8.226%,1349541.00,United States,2007,60901,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$4.84,-0.02,-0.412%,111320000.00,,2023,329887,,
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$69.25,0.00,0.00%,8130643.00,United States,,24,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$1.495,-0.025,-1.645%,255429793.00,,2021,455998,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$3.49,-0.11,-3.056%,622098730.00,,2021,353107,,
NG,Novagold Resources Inc.,$3.58,0.01,0.28%,1196368513.00,Canada,2003,926929,Basic Materials,Precious Metals
NGD,New Gold Inc.,$1.14,-0.03,-2.564%,780337980.00,Canada,,1666940,,
NHC,National HealthCare Corporation Common Stock,$71.79,1.23,1.743%,1100150162.00,United States,1986,37944,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.525,0.005,0.066%,0.00,United States,,57727,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,$0.4199,-0.0024,-0.568%,10951786.00,United States,2022,21298,Health Care,Biotechnology: Pharmaceutical Preparations
